0:
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.026	0.049	0.068	0.082	0.090	0.090	0.082	0.068	0.049	0.026	
0.021	0.041	0.057	0.068	0.074	0.074	0.068	0.057	0.041	0.021	
0.015	0.029	0.041	0.049	0.053	0.053	0.049	0.041	0.029	0.015	
0.008	0.015	0.021	0.026	0.028	0.028	0.026	0.021	0.015	0.008	

3:
0.010	0.018	0.026	0.031	0.033	0.033	0.031	0.026	0.018	0.010	
0.018	0.035	0.049	0.059	0.064	0.064	0.059	0.049	0.035	0.018	
0.026	0.049	0.068	0.082	0.090	0.090	0.082	0.068	0.049	0.026	
0.031	0.059	0.082	0.099	0.108	0.108	0.099	0.082	0.059	0.031	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.031	0.059	0.082	0.099	0.108	0.108	0.099	0.082	0.059	0.031	
0.026	0.049	0.068	0.082	0.090	0.090	0.082	0.068	0.049	0.026	
0.018	0.035	0.049	0.059	0.064	0.064	0.059	0.049	0.035	0.018	
0.010	0.018	0.026	0.031	0.033	0.033	0.031	0.026	0.018	0.010	

4:
0.010	0.020	0.028	0.033	0.036	0.036	0.033	0.028	0.020	0.010	
0.020	0.038	0.053	0.064	0.070	0.070	0.064	0.053	0.038	0.020	
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.036	0.070	0.098	0.117	0.128	0.128	0.117	0.098	0.070	0.036	
0.036	0.070	0.098	0.117	0.128	0.128	0.117	0.098	0.070	0.036	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.020	0.038	0.053	0.064	0.070	0.070	0.064	0.053	0.038	0.020	
0.010	0.020	0.028	0.033	0.036	0.036	0.033	0.028	0.020	0.010	

5:
0.010	0.020	0.028	0.033	0.036	0.036	0.033	0.028	0.020	0.010	
0.020	0.038	0.053	0.064	0.070	0.070	0.064	0.053	0.038	0.020	
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.036	0.070	0.098	0.117	0.128	0.128	0.117	0.098	0.070	0.036	
0.036	0.070	0.098	0.117	0.128	0.128	0.117	0.098	0.070	0.036	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.020	0.038	0.053	0.064	0.070	0.070	0.064	0.053	0.038	0.020	
0.010	0.020	0.028	0.033	0.036	0.036	0.033	0.028	0.020	0.010	

6:
0.010	0.018	0.026	0.031	0.033	0.033	0.031	0.026	0.018	0.010	
0.018	0.035	0.049	0.059	0.064	0.064	0.059	0.049	0.035	0.018	
0.026	0.049	0.068	0.082	0.090	0.090	0.082	0.068	0.049	0.026	
0.031	0.059	0.082	0.099	0.108	0.108	0.099	0.082	0.059	0.031	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.033	0.064	0.090	0.108	0.117	0.117	0.108	0.090	0.064	0.033	
0.031	0.059	0.082	0.099	0.108	0.108	0.099	0.082	0.059	0.031	
0.026	0.049	0.068	0.082	0.090	0.090	0.082	0.068	0.049	0.026	
0.018	0.035	0.049	0.059	0.064	0.064	0.059	0.049	0.035	0.018	
0.010	0.018	0.026	0.031	0.033	0.033	0.031	0.026	0.018	0.010	

7:
0.008	0.015	0.021	0.026	0.028	0.028	0.026	0.021	0.015	0.008	
0.015	0.029	0.041	0.049	0.053	0.053	0.049	0.041	0.029	0.015	
0.021	0.041	0.057	0.068	0.074	0.074	0.068	0.057	0.041	0.021	
0.026	0.049	0.068	0.082	0.090	0.090	0.082	0.068	0.049	0.026	
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.028	0.053	0.074	0.090	0.098	0.098	0.090	0.074	0.053	0.028	
0.026	0.049	0.068	0.082	0.090	0.090	0.082	0.068	0.049	0.026	
0.021	0.041	0.057	0.068	0.074	0.074	0.068	0.057	0.041	0.021	
0.015	0.029	0.041	0.049	0.053	0.053	0.049	0.041	0.029	0.015	
0.008	0.015	0.021	0.026	0.028	0.028	0.026	0.021	0.015	0.008	

8:
0.006	0.011	0.015	0.018	0.020	0.020	0.018	0.015	0.011	0.006	
0.011	0.021	0.029	0.035	0.038	0.038	0.035	0.029	0.021	0.011	
0.015	0.029	0.041	0.049	0.053	0.053	0.049	0.041	0.029	0.015	
0.018	0.035	0.049	0.059	0.064	0.064	0.059	0.049	0.035	0.018	
0.020	0.038	0.053	0.064	0.070	0.070	0.064	0.053	0.038	0.020	
0.020	0.038	0.053	0.064	0.070	0.070	0.064	0.053	0.038	0.020	
0.018	0.035	0.049	0.059	0.064	0.064	0.059	0.049	0.035	0.018	
0.015	0.029	0.041	0.049	0.053	0.053	0.049	0.041	0.029	0.015	
0.011	0.021	0.029	0.035	0.038	0.038	0.035	0.029	0.021	0.011	
0.006	0.011	0.015	0.018	0.020	0.020	0.018	0.015	0.011	0.006	

9:
0.003	0.006	0.008	0.010	0.010	0.010	0.010	0.008	0.006	0.003	
0.006	0.011	0.015	0.018	0.020	0.020	0.018	0.015	0.011	0.006	
0.008	0.015	0.021	0.026	0.028	0.028	0.026	0.021	0.015	0.008	
0.010	0.018	0.026	0.031	0.033	0.033	0.031	0.026	0.018	0.010	
0.010	0.020	0.028	0.033	0.036	0.036	0.033	0.028	0.020	0.010	
0.010	0.020	0.028	0.033	0.036	0.036	0.033	0.028	0.020	0.010	
0.010	0.018	0.026	0.031	0.033	0.033	0.031	0.026	0.018	0.010	
0.008	0.015	0.021	0.026	0.028	0.028	0.026	0.021	0.015	0.008	
0.006	0.011	0.015	0.018	0.020	0.020	0.018	0.015	0.011	0.006	
0.003	0.006	0.008	0.010	0.010	0.010	0.010	0.008	0.006	0.003	

